0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 200 14150
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 200 31981
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:18 +0100] "GET /demarrage/catfails.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:21 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:30 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:30:24 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:30:24 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:30:24 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:39 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:46 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:46 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:47 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:47 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:47 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:35:47 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:36:01 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:36:01 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:36:01 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:39 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:39 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:39 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:45 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:45 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:37:45 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
